names	A_loading	AUCs	corrs	color
AFF3	1	0.0223367697594502	-0.811266219964336	Blue
PRDM1	1	0.94136460554371	0.891059966236444	Red
PDXK	0.428175955919164	0.716417910447761	0.573408549689214	Red
GLMN	0.410522226412552	0.270561282932417	-0.468319786575262	Blue
HPRT1	0.401314578886994	0.295418098510882	-0.43449326897568	Blue
RNPC3	0.398643626368687	0.325887743413517	-0.392344576986289	Blue
PISD	0.3981433773806	0.326460481099656	-0.391542070315085	Blue
TAP2	0.380583088441659	0.337686139747995	-0.375715611054397	Blue
CUL4A	0.380337689573459	0.270217640320733	-0.468785161253008	Blue
MAPK1	0.380099660244179	0.155784650630011	-0.623433257879424	Blue
HSP90B1	0.034522741786689	0.936998072963606	0.721791030908088	Red
GLCCI1	0.127455691501185	0.922916150714274	0.737010895786215	Red
TXNDC5	0.130295752097647	0.907944128156469	0.69248205475245	Red
CEP128	0.1971492086504	0.89844977371366	0.664150306062268	Red
MZB1	0.140129619636789	0.890742947022375	0.650198743420194	Red
FNDC3A	0.0685086851376908	0.85888129309271	0.594799132200668	Red
MAN1A1	0.0524568966240386	0.856852165290387	0.589646006302268	Red
ELL2	0.28788336393659	0.856560740724458	0.593875819891369	Red
SUB1	0.0850486282381432	0.852976355336718	0.583709348028073	Red
