"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pou2f1:Pou2f2.W.Hmbox1_-1|-|-",770.46875,1.01822539995823,0.188002444895532,5.41602211888273,6.09395657114995e-08,0.000231265651875141
"Rela:Relb.W.Hivep2_5|-|+",2186.36875,1.11716518490397,0.214741966201984,5.20236078984755,1.96772746704639e-07,0.000373376286872052
"Rela:Relb.W.Hivep2_4|-|+",3037.3625,0.920592506717051,0.181149188632986,5.08195765967355,3.73564692451055e-07,0.000472559335950585
"Terf2.W.Ikzf1_-4|+|+",1643.96875,1.07740643150856,0.231093615634435,4.66220768821628,3.12835246380253e-06,0.00296802440003265
"E2f6:E2f4.W.ZNF143|STAF(Zf)-CUTLL-ZNF143-ChIP-Seq(GSE29600)-Homer_-1|-|+",1542.45625,1.15517352454151,0.260715163801742,4.43078763696288,9.38895178226867e-06,0.00712621440274192
"Ebf1.W.Stat6_1|+|-",926.7125,1.19378633850749,0.318481336344298,3.74837141859054,0.000177986545519245,0.112576490040922
"Ybx1.W.Pit1(Homeobox)-GCrat-Pit1-ChIP-Seq(GSE58009)-Homer_-4|-|+",1411.2625,0.868939004801842,0.23878351100102,3.63902432441464,0.00027367295132249,0.148369835752693
"Gfi1.W.Pit1(Homeobox)-GCrat-Pit1-ChIP-Seq(GSE58009)-Homer_-2|-|+",1258.9,0.760016194112266,0.216548938524517,3.50967406855342,0.000448656284256901,0.212831324844368
"Rela:Relb.W.Pbx3(Homeobox)-GM12878-PBX3-ChIP-Seq(GSE32465)-Homer_2|+|-",963.26875,-0.769174122616757,0.223138088153561,-3.44707678093675,0.000566687504977862,0.238953231265665
"Stat5b.W.Ebf1_1|+|-",1549.525,0.753116826088307,0.232451727842426,3.23988482717938,0.0011957798836542,0.453798465846769
"Bcl6.W.Irf4:Irf1_1|-|+",3722.825,1.31572402210177,0.415792282076563,3.1643781734734,0.00155414711057333,0.5361807531478
"Sfpi1.W.Yy1_-1|+|-",2207.1375,0.415676686429429,0.132808663949222,3.12989133441143,0.00174870978083712,0.553029468189739
"Nfe2l1.W.Cxxc1_-1|-|+",1863.34375,0.585017756550015,0.191959757395885,3.04760625084305,0.0023067196181995,0.673384688543623
"Rela:Relb.W.AP-2gamma(AP2)-MCF7-TFAP2C-ChIP-Seq(GSE21234)-Homer_-5|-|-",1659.78125,-1.37484475767998,0.468153147614362,-2.93674145882812,0.00331680498208307,0.839253200226802
"Tbp.W.Prdm1_3|-|+",3151.48125,0.945243189598425,0.321872143422968,2.93670393326425,0.00331720632500712,0.839253200226802
"Mecp2.W.ZNF143|STAF(Zf)-CUTLL-ZNF143-ChIP-Seq(GSE29600)-Homer_1|-|+",1163.75,0.659655485408627,0.229583090885278,2.87327556600522,0.00406239603126134,0.9635495586648
"Zeb1.W.Nfic_-3|-|-",642.525,-0.0780166840872734,0.365398749683126,-0.213511086600404,0.8309283426268,0.999999953144169
"Zeb1.W.Nfe2l1_-3|-|-",785.15625,0.039480073717651,0.803652611046819,0.0491257953685052,0.96081904649014,0.999999953144169
"Zeb1.W.Nfe2l1_-3|-|+",890.88125,-0.15898265693647,0.900250752424243,-0.17659819390137,0.859824012845733,0.999999953144169
"Tbp.W.Zeb1_-3|+|+",86.95,-0.0897721680294699,1.60975501486363,-0.0557675964358308,0.95552694905332,0.999999953144169
"Tbp.W.Irf4:Irf1_-3|+|+",1142.825,-0.116332045827137,0.404483433867243,-0.287606453285103,0.773648004508821,0.999999953144169
"Nfe2l1.W.Cxxc1_-4|+|+",754.5125,-0.105861378325303,0.180470703654024,-0.586584837216834,0.557482568611796,0.999999953144169
"Nfatc2.W.Zbtb33-halfSite_-4|-|+",366.69375,-0.363795652806271,0.428480694889639,-0.849036274317964,0.39586110802605,0.999999953144169
"Irf4:Irf1.W.Zbtb33-halfSite_-3|+|-",874.8875,-0.666559554964862,0.753764716915431,-0.884307184996093,0.376530410717876,0.999999953144169
"Hif1a.W.Nfic_-3|-|-",1631.0375,0.0571323313195345,0.276972289827696,0.206274538709545,0.836576466019661,0.999999953144169
"Hif1a.W.Nfe2l1_-3|-|+",1535.71875,0.284867719045237,0.325816282628371,0.87432008230896,0.381943965757805,0.999999953144169
"Creb1.W.Smad4_-4|+|-",841.025,-0.263469098507174,0.371476694987594,-0.709247987995514,0.47817059876639,0.999999953144169
"Zeb1.W.Nfic_-2|+|+",1543.09375,-0.0841663733524276,0.196334259673309,-0.428689182888797,0.668149433717681,0.999999953144169
"Zeb1.W.Nfe2l1_-2|+|-",638.25625,-0.297575906721608,0.972630250897482,-0.305949672495816,0.759642964939164,0.999999953144169
"Zeb1.W.Nfatc2_-3|-|-",358.1375,-0.152712222581691,0.747235323111538,-0.204369651511906,0.838064644259619,0.999999953144169
"Zeb1.W.Maff:Mafk_-3|+|-",838.8,-0.0654049098729547,0.301350435965168,-0.217039373656372,0.828177660463648,0.999999953144169
"Zeb1.W.Irf4:Irf1_-2|-|-",432.1,0.184962373723768,0.411390194643014,0.449603262625814,0.652996535146888,0.999999953144169
"Zeb1.W.Irf4:Irf1_-2|-|+",1897.55,-0.371995439700365,0.344043834658378,-1.08124431315487,0.279588451115535,0.999999953144169
"Zeb1.W.Irf4:Irf1_-2|+|+",1462.025,0.241447264671056,0.310449254690162,0.777735043725673,0.436725228409786,0.999999953144169
"Zeb1.W.Hnf1b_-3|-|+",343.95,0.313588089956292,0.975237257371007,0.32155056381013,0.747793200553086,0.999999953144169
"Zbtb7b.W.Zfp384_-3|-|+",435.2125,0.12676776366737,0.352156752146458,0.359975388501563,0.718865538646111,0.999999953144169
"Zbtb7b.W.Hnf1b_-3|-|+",317.7875,-0.0599042493729298,0.924019827420332,-0.0648300475761108,0.948309317260368,0.999999953144169
"Zbtb7a.W.Smad4_-3|-|+",1838.08125,0.205029106191366,0.23682565922158,0.865738564247111,0.386633546657341,0.999999953144169
"Tfap4.W.Nfe2l1_-3|-|+",1097.10625,-0.330488819718887,0.257476461434873,-1.28356906055461,0.199292781121823,0.999999953144169
"Tbp.W.Runx1_-3|+|+",709.9625,-0.270913347270303,0.618205152381289,-0.438225637924177,0.661222725238161,0.999999953144169
"Tbp.W.Nfe2l1_-2|+|-",897.0375,-0.0979071823048419,0.283528390998,-0.34531703142749,0.729856044048043,0.999999953144169
"Tbp.W.Nfatc2_-3|+|-",1052.63125,0.0386033700633073,0.308771924416169,0.125022280235806,0.900505911650326,0.999999953144169
"Tbp.W.Lmo2_-3|+|-",279.11875,0.195674366720565,0.357340748708991,0.547584812052646,0.583977020422848,0.999999953144169
"Tbp.W.Hmbox1_-3|+|-",802.91875,0.116692683914127,0.42053901351086,0.277483610711694,0.781408788680311,0.999999953144169
"Smad4.W.Zbtb33-halfSite_-2|-|+",1052.65625,-0.169771417159354,0.420564775147947,-0.403674837246253,0.686451845544876,0.999999953144169
"Smad4.W.Creb3_-3|-|-",930.64375,-0.128490091909958,0.327052600117907,-0.392872864681814,0.694413384274355,0.999999953144169
"Runx1.W.Zfp384_-4|+|+",729.11875,0.224682399655097,0.668971580838016,0.335862398479826,0.736974633237513,0.999999953144169
"Runx1.W.Rbpj_-4|+|-",1164.1125,0.065418670927725,0.288810382145335,0.226510800760635,0.820804159724513,0.999999953144169
"Runx1.W.Cxxc1_-4|+|-",611.7,-0.252011609730078,0.794136813586968,-0.31734029378614,0.750985406117808,0.999999953144169
"Rbpj.W.Cxxc1_-4|+|+",2133.3875,-0.12285720097028,0.548528423341933,-0.223975997855804,0.822775979742411,0.999999953144169
"Rara.W.Zbtb7b_-3|-|-",605.2375,0.0358936569984029,0.782334864588361,0.0458801705293921,0.963405759156557,0.999999953144169
"Rara.W.Zbtb33-halfSite_-3|-|+",947.3375,0.0703127189917008,0.463954316691772,0.151550953320288,0.87954112001826,0.999999953144169
"Rara.W.Zbtb33-halfSite_-3|+|-",1315.56875,0.310640319697524,0.900396457055171,0.345003933837658,0.730091413330368,0.999999953144169
"Rara.W.Runx1_-4|-|+",1367.73125,-0.150441141973488,0.33157324308228,-0.45371918606881,0.650030955906659,0.999999953144169
"Rara.W.Hnf1b_-4|+|-",932.78125,-0.0663426108990866,0.476618488038787,-0.139194371523598,0.889296556081274,0.999999953144169
"Rara.W.Creb3_-4|+|+",1233.1,0.0539930520674757,1.29321328765967,0.0417510804928295,0.966697133089418,0.999999953144169
"Rara.W.Arid3a_-4|+|-",523.05,-0.0808360329010844,0.249757635093042,-0.323657904876344,0.746197043768441,0.999999953144169
"Rara.W.Arid3a_-4|+|+",127.06875,-0.0167087447590497,2.41064843633916,-0.00693122419145604,0.99446972751098,0.999999953144169
"Nr3c1.W.Zbtb7b_-3|-|-",800.98125,-0.238606298492859,0.353905686562009,-0.674208715917459,0.50017862914685,0.999999953144169
"Nr3c1.W.Zbtb33-halfSite_-3|-|+",1150.4625,-0.0211503426069946,0.275940662635969,-0.0766481547335303,0.938903449663437,0.999999953144169
"Nr3c1.W.Arid3a_-4|+|+",346.38125,-0.0619741076130873,0.49882285046169,-0.124240715026841,0.901124686023659,0.999999953144169
"Nfic.W.Cxxc1_-3|-|-",702.475,0.155885300113267,0.692253116890087,0.225185407345761,0.821835041189072,0.999999953144169
"Nfic.W.Bptf_-5|-|-",757.625,-0.0314789274520195,0.32029780194733,-0.0982801856916768,0.921709811530353,0.999999953144169
"Nfe2l1.W.Zfp384_-3|-|+",1700.16875,-0.226587898522233,0.276899693917847,-0.818303174395921,0.413184093960423,0.999999953144169
"Nfe2l1.W.Zbtb7b_-2|-|-",954.5625,0.0495843922699328,0.275993470910213,0.179657845188895,0.8574211895357,0.999999953144169
"Nfe2l1.W.Zbtb7a_-3|-|-",919.55625,0.0572361090735778,0.430291241959896,0.133017136981171,0.894179827583169,0.999999953144169
"Nfe2l1.W.Myc_-4|+|-",1357.4875,0.194883375675276,0.293736038308432,0.663464302159078,0.507033235045142,0.999999953144169
"Nfe2l1.W.Lmo2_-3|+|-",1368.25,0.232438475824911,0.488786570025948,0.475541862397267,0.634400802582982,0.999999953144169
"Nfe2l1.W.Lmo2_-3|+|+",1264.16875,-0.0377229117180326,0.579551299003515,-0.0650898579347397,0.948102455504974,0.999999953144169
"Nfatc2.W.Zbtb33-halfSite_-3|-|+",1182.71875,-0.180810915436768,0.16697429810792,-1.08286674946766,0.278867572494548,0.999999953144169
"Nfatc2.W.Creb3_-4|-|+",876.9875,0.0927360230191076,0.526671277662489,0.176079514779495,0.860231474313425,0.999999953144169
"Myc.W.Runx1_-5|+|+",1210.34375,-0.109594050728114,0.775927290365552,-0.141242680968834,0.887678229484367,0.999999953144169
"Mbd2.W.Smad4_-4|-|-",1052.1,0.0817862206472345,0.279049023928581,0.293089076234027,0.769454066233525,0.999999953144169
"Maff:Mafk.W.Irf4:Irf1_-3|+|-",599.6875,-0.0831986548957415,0.408173107671777,-0.20383178933641,0.838484950013447,0.999999953144169
"Maff:Mafk.W.Arid3a_-4|+|+",217.99375,-0.000720126198147951,0.761106577149084,-0.000946156845530575,0.999245076173489,0.999999953144169
"Lmo2.W.Hnf1b_-4|+|-",969.65625,-0.0737729229622,0.420394689159071,-0.175484907075706,0.860698629172621,0.999999953144169
"Klf7.W.Hnf1b_-3|-|+",165.76875,-0.240095115628874,2.6499954825785,-0.090602084874219,0.927808775258096,0.999999953144169
"Irf4:Irf1.W.Mbd2_-4|+|-",575.1625,0.416687720218738,0.587874978127494,0.708803292744277,0.478446554145509,0.999999953144169
"Irf4:Irf1.W.Cxxc1_-3|-|-",1245.59375,0.0732227323131084,0.379655818101944,0.192866087708544,0.847063844446754,0.999999953144169
"Hmbox1.W.Runx1_-4|+|-",1496.7125,-0.00421771979848981,0.735952264450231,-0.00573096925198066,0.995427373145988,0.999999953144169
"Hmbox1.W.Nfe2l1_-3|-|-",210.25625,-0.130345084349035,0.538457559302372,-0.242071231236703,0.80872496949366,0.999999953144169
"Hmbox1.W.Irf4:Irf1_-3|-|-",1499.1875,0.253285473062951,0.236684765224793,1.07013847225186,0.284556984217269,0.999999953144169
"Hmbox1.W.Hnf1b_-4|-|-",721.1875,0.205677384685559,0.387978055819178,0.530126334726048,0.596024341379189,0.999999953144169
"Hmbox1.W.Hnf1b_-4|+|+",1176.00625,0.129940245665134,0.459482506272648,0.282796937622756,0.777332501975069,0.999999953144169
"Hmbox1.W.Arid3a_-4|-|+",798.2875,-0.0541325728580667,0.305503807898965,-0.177191155915049,0.859358242305823,0.999999953144169
"Hmbox1.W.Arid3a_-4|+|-",440.41875,0.359313910133629,0.671436025757706,0.535142435540525,0.592551368016201,0.999999953144169
"Hif1a.W.Tfap4_-3|-|+",1622.375,-0.0169992744421101,0.258867065284071,-0.0656679690923822,0.947642174309712,0.999999953144169
"Hif1a.W.Nfic_-2|+|-",1723.8625,-0.0934608613005066,0.417490501252209,-0.223863443647659,0.822863561574655,0.999999953144169
"Hif1a.W.Nfe2l1_-2|+|+",195.95625,0.0144995391611516,0.375546410478978,0.0386091805341945,0.96920198274389,0.999999953144169
"Hif1a.W.Creb3_-3|-|-",1331.51875,0.148079490112297,0.219992431356881,0.673111748431366,0.500876200206868,0.999999953144169
"Ets2.W.Smad4_-2|-|+",350.04375,0.105478886689842,0.303821719931962,0.347173621140263,0.728460887088092,0.999999953144169
"Ets2.W.Maff:Mafk_-3|+|-",1629.65625,0.0959107676873404,0.382637467610854,0.250657020824951,0.802079292387123,0.999999953144169
"Ets2.W.Maff:Mafk_-3|+|+",1142.65,-0.049413664148706,0.97665342330691,-0.0505948814282484,0.959648341631902,0.999999953144169
"Ets2.W.Creb1_-3|-|-",798.78125,-0.112930409975742,0.311571729031365,-0.362453969513946,0.717012815316694,0.999999953144169
"Ebf1.W.Smad4_-2|-|-",1232.575,0.0377160000140495,0.258814691497963,0.145725885171964,0.884137786089539,0.999999953144169
"Ebf1.W.Rara_-3|+|-",1011.74375,-0.0218787046370054,0.287062492653275,-0.076215824766182,0.9392473929658,0.999999953144169
"Cxxc1.W.Creb3_-4|-|-",1167.725,-0.160032897838061,0.492459089547421,-0.324966888082285,0.745206132240943,0.999999953144169
